sort,Site,N_coordiate,W_coordinate,Elevation,Date of 1st survey,Date of 2nd survey,Date of 3rd survey ,geometry,index,Station_ID,Lat,Long,dist,dist_geo (m),sample,precip_1,precip_2,precip_3,chl_1,chl_2,chl_3,FI_1,FI_2,FI_3,strat_1,strat_2,strat_3,Fish,zoop_den1,zoop_den2,zoop_den3
Isabelle Lake42587,Isabelle Lake,40.0693832,-105.6185272,3313,6/22/16,7/11/16,8/5/16,POINT (40.0693832 -105.6185272),4,University_Camp,40.03,-105.58,0.055094297,5470.913009,sur,0,0,0,2.3981,2.6211,3.1788,1.36,1.35,1.33,0.000845037,0.011965091,0.000100866,0,4.126,5.938,42.043
Jasper LakeNA,Jasper Lake,39.9790853,-105.6628812,3296,6/15/16,7/6/16,NA,POINT (39.97908529999999 -105.6628812),6,Lake_Eldora,39.94,-105.59,0.082700242,7590.308109,sur,5,2,NA,6.3019,3.2904,NA,1.35,1.35,NA,0.000123158,0.044987041,NA,1,5.551,19.755,NA
Lion Lake 242592,Lion Lake 2,40.23765451,-105.6416988,3432,7/13/16,7/27/16,8/10/16,POINT (40.23765451 -105.6416988),2,Wild_Basin,40.2,-105.6,0.056184091,5484.537355,sur,0,0,0,3.4574,9.7871,2.4276,1.34,1.32,1.41,0.015427703,0.02317733,0.002567496,0,7.49,3.38,4.894
Long Lake 42587,Long Lake ,40.07235747,-105.5923462,3253,6/22/16,7/11/16,8/5/16,POINT (40.07235747 -105.5923462),4,University_Camp,40.03,-105.58,0.044120108,4819.73463,sur,0,0,0,8.4768,4.3685,2.1192,1.34,1.33,1.3,0.011869075,0.009312395,0.008268249,1,12.547,7.401,24.886
Lost Lake42565,Lost Lake,39.9496082,-105.6165114,2983,6/2/16,6/16/16,7/14/16,POINT (39.94960820000001 -105.6165114),6,Lake_Eldora,39.94,-105.59,0.028198791,2504.331379,sur,0,5,0,0.9066,3.6742,2.7513,1.34,1.35,1.39,0.022818547,0.00331662,0.050737665,1,26.44,21.327,49.365
Mud Lake42566,Mud Lake,39.977675,-105.509753,2480,5/27/16,6/13/16,7/15/16,POINT (39.977675 -105.509753),5,Niwot,40.04,-105.54,0.069276884,7386.438201,sur,0,0,0,1.948,3.9081,7.9935,1.32,1.39,1.39,0.000730687,0.006682952,0.029391597,0,48.105,47.786,75.068
Pear Reservoir 42593,Pear Reservoir ,40.17674201,-105.6266999,3226,6/27/16,7/18/16,8/11/16,POINT (40.17674201 -105.6266999),2,Wild_Basin,40.2,-105.6,0.035409303,3440.82716,sur,3,0,0,3.2065,2.8628,23.2702,1.33,1.34,1.34,0.055562696,0.064268017,0.059115396,1,3.814,3.371,15.953
Red Deer Lake 42585,Red Deer Lake ,40.1427426,-105.6100976,3163,6/28/16,7/20/16,8/3/16,POINT (40.14274260000001 -105.6100976),3,Sawtooth,40.14,-105.59,0.02028387,1739.530901,sur,0,0,2,6.0416,1.1526,4.4243,1.39,1.36,1.38,0.049625705,0.072350433,0.076243765,1,6.376,12.847,13.519
Snowbank Lake42592,Snowbank Lake,40.2402564,-105.6452849,3512,7/13/16,7/27/16,8/10/16,POINT (40.2402564 -105.6452849),2,Wild_Basin,40.2,-105.6,0.060591253,5902.466442,sur,0,0,0,3.3891,4.3174,2.069,1.35,1.36,1.38,0.003990714,0.006893201,0.000640507,0,12.084,7.064,2.981
Upper Diamond Lake42583,Upper Diamond Lake,39.98829223,-105.6612039,3460,6/30/16,7/21/16,8/1/16,POINT (39.98829223 -105.6612039),6,Lake_Eldora,39.94,-105.59,0.08603566,8109.34612,sur,0,18,2,5.5955,1.0224,4.019,1.33,1.37,1.41,0.008920544,0.008920544,0.019492858,0,0.053,3.088,6.748
Yankee Doodle Lake42580,Yankee Doodle ,39.93752202,-105.653801,3267,7/5/16,NA,7/29/16,POINT (39.93752202 -105.653801),6,Lake_Eldora,39.94,-105.59,0.063849103,5460.013938,sur,5,NA,0,0.4155,2.082,7.5653,1.35,NA,1.35,0.019592383,NA,0.038487787,1,18.871,NA,48.579
