Site,Date,sample_depth,epi,Depth,CL_mg_L,SO4_mg_L,TDN_uMOL_L,TDN_mg_L,NO3_mg_L,TDP_mg_L,PO4_mg_L,DOC_mg_L,FI,Peak,UV_abs_254nm,SUVA,F2_UV,chla,stratification,NDVI
GL1,8/18/16,sur,1,0,NA,NA,NA,0.114,NA,NA,0.0011,1.35,NA,NA,NA,NA,NA,5.60,unstratified,0.4133
GL1,8/18/16,meta,0,3,0.154,5.989,NA,0.086,0.017,0.00028,0.0017,1.40,NA,NA,NA,NA,NA,2.44,unstratified,0.4133
GL1,8/18/16,hypo,0,6,0.152,5.948,NA,0.134,0.120,0.00202,0.0005,1.17,NA,NA,NA,NA,NA,1.15,unstratified,0.4133
GL4,7/19/16,sur,1,0,0.331,2.451,NA,0.153,0.352,0.00592,0.0021,0.59,NA,NA,NA,NA,NA,5.24,stratified,0.2963
GL4,7/19/16,meta,0,3,0.302,2.395,NA,0.193,0.301,0.00506,0.0022,2.06,NA,NA,NA,NA,NA,6.30,stratified,0.2963
GL4,7/19/16,hypo,0,9,0.106,2.410,NA,0.116,0.513,0.00863,0.0028,0.53,NA,NA,NA,NA,NA,15.91,stratified,0.2963
GL4,7/26/16,sur,1,0,0.178,2.417,NA,0.062,0.051,0.00085,0.0022,0.54,NA,NA,NA,NA,NA,12.01,stratified,0.2963
GL4,7/26/16,meta,0,3,0.180,2.364,NA,0.041,0.060,0.00101,0.0015,0.55,NA,NA,NA,NA,NA,10.54,stratified,0.2963
GL4,7/26/16,hypo,0,9,0.164,2.385,NA,0.100,0.246,0.00415,0.0018,0.52,NA,NA,NA,NA,NA,13.09,stratified,0.2963
GL4,8/2/16,sur,1,0,0.125,2.412,NA,0.064,0.008,0.00014,0.0019,0.58,NA,NA,NA,NA,NA,2.38,stratified,0.2963
GL4,8/2/16,meta,0,3,0.723,2.534,NA,0.044,0.015,0.00024,0.0025,0.54,NA,NA,NA,NA,NA,3.89,stratified,0.2963
GL4,8/2/16,hypo,0,9,0.101,2.372,NA,0.032,0.000,0.00000,0.0016,0.55,NA,NA,NA,NA,NA,6.58,stratified,0.2963
GL4,8/9/16,sur,1,0,0.085,2.618,NA,0.019,0.006,0.00010,0.0020,0.59,NA,NA,NA,NA,NA,1.54,stratified,0.2963
GL4,8/9/16,meta,0,3,0.058,2.614,NA,0.061,0.020,0.00034,0.0011,0.65,NA,NA,NA,NA,NA,0.37,stratified,0.2963
GL4,8/9/16,hypo,0,9,0.133,2.724,NA,0.041,0.011,0.00018,0.0015,0.56,NA,NA,NA,NA,NA,1.45,stratified,0.2963
GL4,8/16/16,sur,1,0,0.165,2.912,NA,0.125,0.145,0.00243,0.0014,0.65,NA,NA,NA,NA,NA,0.89,stratified,0.2963
GL4,8/16/16,meta,0,3,NA,NA,NA,0.078,NA,NA,0.0017,0.60,NA,NA,NA,NA,NA,1.49,stratified,0.2963
GL4,8/16/16,hypo,0,9,NA,NA,NA,0.053,NA,NA,0.0017,0.67,NA,NA,NA,NA,NA,6.82,stratified,0.2963
GL4,8/23/16,sur,1,0,0.243,3.041,NA,0.120,0.083,0.00140,0.0012,0.70,NA,NA,NA,NA,NA,5.61,unstratified,0.2963
GL4,8/23/16,meta,0,3,0.067,3.085,NA,0.046,NA,NA,0.0014,0.70,NA,NA,NA,NA,NA,4.94,unstratified,0.2963
GL4,8/23/16,hypo,0,9,0.073,3.107,NA,0.079,0.040,0.00068,0.0021,0.67,NA,NA,NA,NA,NA,2.12,unstratified,0.2963
Isabelle Lake,6/22/16,sur,1,0,0.175,3.864,29.682,0.416,0.986,0.00617,0.0014,1.12,1.36,464,0.0429,3.81,161215,8.33,unstratified,0.4788
Isabelle Lake,6/22/16,hypo,0,6.5,0.121,3.981,21.407,0.300,0.881,0.00350,0.0012,1.47,1.37,462,0.0419,2.85,161215,4.43,unstratified,0.4788
Isabelle Lake,7/11/16,sur,1,0,0.455,2.893,13.839,0.194,0.522,0.00391,0.0017,0.79,1.35,466,0.0303,3.86,161215,2.62,unstratified,0.4788
Isabelle Lake,7/11/16,hypo,0,6.5,0.126,2.752,17.665,0.247,0.521,0.00493,0.0014,0.78,1.36,462,0.0311,4,161215,15.06,unstratified,0.4788
Isabelle Lake,8/5/16,sur,1,0,0.097,2.833,9.009,0.126,0.220,0.00345,0.0019,0.79,1.33,466,0.0227,2.86,170111,3.18,stratified,0.4788
Isabelle Lake,8/5/16,hypo,0,6,0.076,2.669,23.133,0.324,0.253,0.00377,0.0019,0.85,1.4,466,0.027,3.18,170111,7.90,stratified,0.4788
