sort,Site,label,Date,sample number,sample_num,visit_number,Elevation,SA_m2,sample_depth,epi,Depth,CL_uMOL,CL_mgL,SO4_uMOL,SO4_mgL,TDN_uMOL_L,TDN_mg_L,NO3_uMOL,NO3_mg_L,TDP_uMOL,TDP_mg_L,PO4_uMOL,PO4_mg_L,DOC_mg_L,FI,Peak,UV_abs_254nm,SUVA,F2_UV,chla,Temp,stratification,watershed,max_depth,Fish,phyto_den,phyto_BV,phyto_Bvcheck,NDVI,NDVI_QAQC,apline
Albion425448.5,Albion,hypo,6/23/16,0,1,one,3345,129743.89,hypo,0,8.5,5.898419824,0.671812668,84.21866005,4.045089617,7.72263738,0.108168665,5.898419824,0.128446497,0.065058501,0.002015122,0.181506522,0.001873994,1.40446824,NA,NA,NA,NA,NA,10.86,7.59,unstratified,GLV,15,1,1286.44,NA,NA,0.376315792,0.425464148,sub
Albion425650,Albion,sur,7/14/16,1,2,two,3345,129743.89,sur,1,0,4.284597073,0.640035682,79.65889044,3.826080235,9.074970957,0.127110396,4.284597073,0.086266068,0.031132087,0.000964285,0.122195318,0.001261626,1.470089957,NA,NA,NA,NA,NA,17.4,11.94,unstratified,GLV,15,1,847.31,NA,NA,0.376315792,0.425464148,sub
Albion425653,Albion,meta,7/14/16,1,2,two,3345,129743.89,meta,0,3,4.880070976,0.627392395,83.66893963,4.018686105,6.142596851,0.086037511,4.880070976,0.097355879,0.029956353,0.000927868,0.191933408,0.001981648,1.406552071,NA,NA,NA,NA,NA,8.33,11.77,unstratified,GLV,15,1,NA,NA,NA,0.376315792,0.425464148,sub
Albion4256512,Albion,hypo,7/14/16,1,2,two,3345,129743.89,hypo,0,12,6.959518758,0.637925841,81.36835557,3.908187213,8.353858969,0.117009996,6.959518758,0.176853903,0.025249497,0.000782078,0.223142707,0.002303874,1.292925518,NA,NA,NA,NA,NA,22.38,8.95,unstratified,GLV,15,1,1374.13,NA,NA,0.376315792,0.425464148,sub
Albion425790,Albion,sur,7/28/16,2,3,three,3345,129743.89,sur,1,0,6.519445199,0.656952889,77.32934839,3.714190466,5.813825087,0.081432504,6.519445199,0.015522001,0.035831107,0.001109833,0.247342788,0.002553732,1.370079305,NA,NA,NA,NA,NA,6.71,13.06,unstratified,GLV,15,1,668.69,NA,NA,0.376315792,0.425464148,sub
Albion425793,Albion,meta,7/28/16,2,3,three,3345,129743.89,meta,0,3,4.284597073,0.629496996,81.58946823,3.918807431,11.26074964,0.157725942,4.284597073,0.015522001,0.063894074,0.001979055,0.298983495,0.003086905,1.552322193,NA,NA,NA,NA,NA,5.43,12.83,unstratified,GLV,15,1,NA,NA,NA,0.376315792,0.425464148,sub
Albion4257912,Albion,hypo,7/28/16,2,3,three,3345,129743.89,hypo,0,12,3.518847488,0.610592552,79.33268514,3.810412333,8.008713049,0.112175641,3.518847488,0.11296169,0.038178269,0.001182534,0.230063597,0.00237533,1.302311987,NA,NA,NA,NA,NA,5.22,9.84,unstratified,GLV,15,1,4039.38,NA,NA,0.376315792,0.425464148,sub
Albion425930,Albion,sur,8/11/16,3,5,four,3345,129743.89,sur,1,0,8.330932376,0.749129873,79.39024393,3.813176928,13.34689451,0.186945947,8.330932376,0.025100682,0.119455027,0.0037,0.147920224,0.001527227,1.617855798,NA,NA,NA,NA,NA,7.18,11.96,unstratified,GLV,15,1,880.92,NA,NA,0.376315792,0.425464148,sub
Albion425933,Albion,meta,8/11/16,3,5,four,3345,129743.89,meta,0,3,4.671276586,0.629496996,79.34227807,3.81087309,8.002109662,0.112083149,4.671276586,NA,0.122683541,0.0038,0.184499298,0.001904894,1.410912396,NA,NA,NA,NA,NA,7.88,11.95,unstratified,GLV,15,1,NA,NA,NA,0.376315792,0.425464148,sub
Albion4259312,Albion,hypo,8/11/16,3,5,four,3345,129743.89,hypo,0,12,4.203513454,0.640035682,77.03243796,3.699929621,9.563050033,0.133946773,4.203513454,0.062962339,0.109769484,0.0034,0.077188443,0.000796945,1.318028889,NA,NA,NA,NA,NA,2.17,11.06,unstratified,GLV,15,1,790.13,NA,NA,0.376315792,0.425464148,sub
GL1425580,GL1,sur,7/7/16,0,1,one,3425,35443.71,sur,1,0,7.731396298,1.050917716,124.1775002,5.964344677,15.52642909,0.217474034,7.731396298,0.456601638,0.032307429,0.00100069,0.150154304,0.001550293,1.261631481,NA,NA,NA,NA,NA,5.15,10.09,partial,GLV,8,1,310.26,NA,NA,0.379541394,0.413267433,sub
GL1425583,GL1,meta,7/7/16,0,1,one,3425,35443.71,meta,0,3,5.173154183,1.009839745,124.4428012,5.977087298,11.88643096,0.166489672,5.173154183,0.452711541,0.015816938,0.000489914,0.202348392,0.00208918,1.139499207,NA,NA,NA,NA,NA,6.04,9.98,partial,GLV,8,1,NA,NA,NA,0.379541394,0.413267433,sub
GL1425586,GL1,hypo,7/7/16,0,1,one,3425,35443.71,hypo,0,6,4.29807946,1.026251208,129.9573387,6.241954941,11.95999786,0.167520102,4.29807946,0.51574667,0.049890642,0.001545313,0.171067719,0.001766217,1.087264304,NA,NA,NA,NA,NA,13.77,9.12,partial,GLV,8,1,806.07,NA,NA,0.379541394,0.413267433,sub
GL1425720,GL1,sur,7/21/16,1,2,two,3425,35443.71,sur,1,0,6.311531879,0.886221279,127.2937825,6.114022208,12.54821051,0.17575902,6.311531879,0.37673313,0.007542791,0.00023363,0.129193052,0.001333875,1.201104313,NA,NA,NA,NA,NA,2.31,12.76,partial,GLV,8,1,132.31,NA,NA,0.379541394,0.413267433,sub
GL1425723,GL1,meta,7/21/16,1,2,two,3425,35443.71,meta,0,3,5.564214067,0.973044949,125.451783,6.025549498,10.53303852,0.147533111,5.564214067,0.363817613,0.011091218,0.000343539,0.181506522,0.001873994,1.172916451,NA,NA,NA,NA,NA,1.21,12.69,partial,GLV,8,1,NA,NA,NA,0.379541394,0.413267433,sub
GL1425726,GL1,hypo,7/21/16,1,2,two,3425,35443.71,hypo,0,6,3.958562598,1.00094919,131.199399,6.301612094,9.324385045,0.130603864,3.958562598,0.318825931,0.018177436,0.000563028,0.202348392,0.00208918,1.046503734,NA,NA,NA,NA,NA,10.19,11.75,partial,GLV,8,1,1170.07,NA,NA,0.379541394,0.413267433,sub
GL1425860,GL1,sur,8/4/16,2,3,three,3425,35443.71,sur,1,0,5.693436577,1.059878227,125.451783,6.025549498,10.32100785,0.144563261,5.693436577,0.240499368,0.066222541,0.002051177,0.153556723,0.001585422,1.220935864,NA,NA,NA,NA,NA,1.51,13.58,unstratified,GLV,8,1,85.43,NA,NA,0.379541394,0.413267433,sub
GL1425863,GL1,meta,8/4/16,2,3,three,3425,35443.71,meta,0,3,5.997687523,1.045634933,128.2491292,6.159908276,9.629083972,0.13487169,5.997687523,0.256743749,0.067386193,0.00208722,0.24050713,0.002483156,1.204235849,NA,NA,NA,NA,NA,1.67,13.53,unstratified,GLV,8,1,NA,NA,NA,0.379541394,0.413267433,sub
GL1425866,GL1,hypo,8/4/16,2,3,three,3425,35443.71,hypo,0,6,4.592075809,1.043267294,125.6296893,6.034094481,10.77263546,0.150889073,4.592075809,0.260997351,0.04872116,0.001509089,0.192921124,0.001991846,1.182313212,NA,NA,NA,NA,NA,2.12,13.31,unstratified,GLV,8,1,504.63,NA,NA,0.379541394,0.413267433,sub
GL1426000,GL1,sur,8/18/16,3,5,four,3425,35443.71,sur,1,0,5.189969819,1.059878227,103.9749494,4.994,8.164775031,0.114361554,5.189969819,0.03,0.119455027,0.0037,0.105542488,0.001089691,1.345406399,NA,NA,NA,NA,NA,5.6,12.56,unstratified,GLV,8,1,956.46,NA,NA,0.379541394,0.413267433,sub
GL1426003,GL1,meta,8/18/16,3,5,four,3425,35443.71,meta,0,3,4.343779088,1.062258389,124.6908234,5.989,6.164943752,0.086350518,4.343779088,0.017,0.058113256,0.0018,0.167633724,0.001730762,1.397225097,NA,NA,NA,NA,NA,2.44,12.5,unstratified,GLV,8,1,NA,NA,NA,0.379541394,0.413267433,sub
GL1426006,GL1,hypo,8/18/16,3,5,four,3425,35443.71,hypo,0,6,4.287366372,1.071797125,123.8372045,5.948,9.597462273,0.134428775,4.287366372,0.12,0.077484342,0.0024,0.045904218,0.000473946,1.16841089,NA,NA,NA,NA,NA,1.15,12,unstratified,GLV,8,1,326.49,NA,NA,0.379541394,0.413267433,sub
Lion Lake 2425640,Lion Lake 2,sur,7/13/16,0,1,one,3432,17815,sur,1,0,4.089921868,0.145,16.46859932,0.791,10.87136011,0.15227188,3.548106682,0.22,0.22,0.003314297,0.159189964,0.001643583,0.747898891,1.34,464,0.0267,3.57,161216,6.3019,8.95,unstratified,Cheifs Head,9,0,476.73,3042598.871,175666.74,0.324140272,0.342521759,alpine
Lion Lake 2425648.5,Lion Lake 2,hypo,7/13/16,0,1,one,3432,17815,hypo,0,8.5,4.061715511,0.144,16.96827869,0.815,9.959039353,0.139493276,1.419242673,0.088,0.088,0.005334495,0.176070167,0.001817866,0.803031477,1.38,464,0.0298,3.71,161216,10.1499,7.06,unstratified,Cheifs Head,9,0,1121.45,7240828.044,405788.23,0.324140272,0.342521759,alpine
Lion Lake 2425780,Lion Lake 2,sur,7/27/16,1,3,two,3432,17815,sur,1,0,3.046286633,0.108,17.55123796,0.843,15.20897589,0.213027563,3.483595651,0.216,0.216,0.008107465,0.19011466,0.00196287,0.722998099,1.32,466,0.0206,2.85,161215,9.7871,12.06,partial,Cheifs Head,9,0,321.51,1276369.531,82509.65,0.324140272,0.342521759,alpine
Lion Lake 2425788.5,Lion Lake 2,hypo,7/27/16,1,3,two,3432,17815,hypo,0,8.5,2.284714975,0.081,17.61369788,0.846,6.35047507,0.088949199,0.177405334,0.011,0.011,0.00345029,0.176070167,0.001817866,0.827273866,1.4,464,0.0241,2.91,161215,12.6719,9.09,partial,Cheifs Head,9,0,1719.86,8524491.546,532039.47,0.324140272,0.342521759,alpine
Lion Lake 2425920,Lion Lake 2,sur,8/10/16,2,5,three,3432,17815,sur,1,0,2.425746763,0.086,19.15437594,0.92,12.99506394,0.182017962,3.499723409,0.217,0.217,0.004007232,0.19011466,0.00196287,0.844661984,1.41,462,0.0216,2.55,170111,2.4276,11.72,unstratified,Cheifs Head,9,0,668.8,3078117.706,213167.68,0.324140272,0.342521759,alpine
Lion Lake 2425928,Lion Lake 2,hypo,8/10/16,2,5,three,3432,17815,hypo,0,8,4.766874454,0.169,19.05027607,0.915,23.94768313,0.335428013,3.677128743,0.228,0.228,0.004781561,0.153556723,0.001585422,0.916067434,1.38,464,0.0239,2.61,170111,2.4574,11.46,unstratified,Cheifs Head,9,0,159,1027299.578,53186.88,0.324140272,0.342521759,alpine
Upper Diamond Lake 425510,Upper Diamond Lake ,sur,6/30/16,0,1,one,3460,6410,sur,1,0,1.494936959,0.053,49.09349834,2.358,12.63401713,0.176960888,7.563918335,0.469,0.469,0.002958074,0.150738881,0.001556329,0.570777526,1.33,462,0.0231,4.04,161215,0.4155,5.09,unstratified,Diamond,3,1,122.28,990193.4737,63883.32,0.351495322,0.397531106,alpine
Upper Diamond Lake 425513,Upper Diamond Lake ,hypo,6/30/16,0,1,one,3460,6410,hypo,0,3,1.438524243,0.051,51.9874747,2.497,12.74663457,0.178538286,7.838090215,0.486,0.486,0.001986931,0.147920224,0.001527227,0.485676962,1.34,464,0.0221,4.55,161215,0.9677,4.06,unstratified,Diamond,3,1,172.78,NA,NA,0.351495322,0.397531106,alpine
Upper Diamond Lake 425720,Upper Diamond Lake ,sur,7/21/16,1,3,two,3460,6410,sur,1,0,2.848842129,0.101,55.77670994,2.679,7.985472706,0.111850121,5.709226206,0.354,0.354,0.003541676,0.139459366,0.001439871,0.519130832,1.37,466,0.0208,4.01,161216,1.0224,8.75,partial,Diamond,3,1,125.23,634933.924,40963.4,0.351495322,0.397531106,alpine
Upper Diamond Lake 425723,Upper Diamond Lake ,hypo,7/21/16,1,3,two,3460,6410,hypo,0,3,2.200095902,0.078,54.94391099,2.639,7.994405445,0.111975239,6.144675663,0.381,0.381,0.002958074,0.125341626,0.001294111,1.268715803,1.39,468,0.0218,1.72,161216,3.1602,6.31,partial,Diamond,3,1,191.03,1010149.805,65170.82,0.351495322,0.397531106,alpine
Upper Diamond Lake 425830,Upper Diamond Lake ,sur,8/1/16,2,5,three,3460,6410,sur,1,0,5.218176177,0.185,72.12038942,3.464,7.327857586,0.320027645,5.080243658,0.315,0.315,0.00349591,0.062980666,0.000650254,0.793179347,1.41,466,0.0253,3.19,161216,4.019,9.7,unstratified,Diamond,3,1,230.63,935317.2134,60342.93,0.351495322,0.397531106,alpine
Upper Diamond Lake 425832.5,Upper Diamond Lake ,hypo,8/1/16,2,5,three,3460,6410,hypo,0,2.5,2.34112769,0.083,72.16202936,3.466,9.396992061,0.102639103,4.015811654,0.249,0.249,0.00274022,0.139459366,0.001439871,0.616100495,1.37,462,0.026,4.22,161216,8.2555,8.97,unstratified,Diamond,3,1,299.43,1212598.425,78232,0.351495322,0.397531106,alpine
Blue Lake425590,Blue Lake,sur,7/8/16,0,1,one,3461,91581,sur,1,0,2.989873918,0.106,31.16750085,1.497,21.78757239,0.30517199,12.95058939,0.803,0.803,0.003090558,0.195726778,0.002020814,0.609962974,1.4,462,0.0208,3.41,170301,0.5205,2.8,unstratified,Toll,42,0,NA,926959.0326,55498.54,0.275709938,0.298103805,alpine
Blue Lake4255917,Blue Lake,hypo,7/8/16,0,1,one,3461,91581,hypo,0,17,3.751445576,0.133,31.52144041,1.514,18.36104134,0.257177598,12.20871254,0.757,0.757,0.004293397,0.285080891,0.002943365,0.558959022,1.35,464,0.0196,3.5,161215,1.5615,2.71,unstratified,Toll,42,0,NA,918349.9968,72071.31,0.275709938,0.298103805,alpine
Blue Lake425760,Blue Lake,sur,7/25/16,1,3,two,3461,91581,sur,1,0,2.679603983,0.095,30.79274132,1.479,13.09501495,0.183417946,12.30547908,0.763,0.763,0.002870489,0.24050713,0.002483156,0.51450305,1.34,462,0.0184,3.58,161216,3.1602,7.85,unstratified,Toll,42,0,573.44,2286973.196,148242.48,0.275709938,0.298103805,alpine
Blue Lake4257617,Blue Lake,hypo,7/25/16,1,3,two,3461,91581,hypo,0,17,3.243731137,0.115,29.23124329,1.404,9.584367555,0.134245361,8.854138947,0.549,0.549,0.002441475,0.102710769,0.001060454,1.096973967,1.47,462,0.0214,1.95,161216,3.8109,4.97,unstratified,Toll,42,0,365.39,2109301.072,137691.94,0.275709938,0.298103805,alpine
Blue Lake425900,Blue Lake,sur,8/8/16,2,5,three,3461,91581,sur,1,0,2.96166756,0.105,28.19024459,1.354,14.55811352,0.203911129,6.773658211,0.42,0.42,0.004584623,0.119688815,0.001235747,0.690974507,1.39,460,0.0166,2.4,170111,3.642,9.9,stratified,Toll,42,0,174.7,1215293.558,62063.86,0.275709938,0.298103805,alpine
Blue Lake4259017,Blue Lake,hypo,8/8/16,2,5,three,3461,91581,hypo,0,17,4.9361126,0.175,30.54290164,1.467,15.12609321,0.21186665,12.69254527,0.787,0.787,0.003726179,0.142280467,0.001468998,0.534591022,1.38,464,0.0168,3.15,170111,2.3893,4.98,stratified,Toll,42,0,432.73,3239130.113,176713.44,0.275709938,0.298103805,alpine
Snowbank Lake425640,Snowbank Lake,sur,7/13/16,0,1,one,3512,35060,sur,1,0,15.93659211,0.565,18.30075701,0.879,14.06739048,0.197037718,4.951221597,0.307,0.307,0.00223259,0.187307385,0.001933886,0.741913051,1.35,464,0.0264,3.56,161216,5.5955,8.33,unstratified,Cheifs Head,7.5,0,334.47,2230811.442,143923.03,0.27707326,0.282949067,alpine
Snowbank Lake425646.5,Snowbank Lake,hypo,7/13/16,0,1,one,3512,35060,hypo,0,6.5,1.72058782,0.061,18.23829709,0.876,14.17763019,0.198581813,5.047988143,0.313,0.313,0.002315691,0.159189964,0.001643583,0.705265094,1.35,460,0.0241,3.42,161216,3.6993,7.88,unstratified,Cheifs Head,7.5,0,445.98,NA,NA,0.27707326,0.282949067,alpine
Snowbank Lake425780,Snowbank Lake,sur,7/27/16,1,3,two,3512,35060,sur,1,0,2.792429414,0.099,20.04963482,0.963,13.10391351,0.183542585,5.096371416,0.316,0.316,0.002441475,0.145100753,0.001498117,0.750450414,1.36,464,0.0221,2.95,161216,4.3174,11.44,unstratified,Cheifs Head,7.5,0,147.11,NA,NA,0.27707326,0.282949067,alpine
Snowbank Lake425786.5,Snowbank Lake,hypo,7/27/16,1,3,two,3512,35060,hypo,0,6.5,1.579556032,0.056,20.15373469,0.968,12.99712695,0.182046858,5.064115901,0.314,0.314,0.000842251,0.114032737,0.00117735,0.640540314,1.35,462,0.0214,3.34,161216,5.497,10.51,unstratified,Cheifs Head,7.5,0,242.59,NA,NA,0.27707326,0.282949067,alpine
Snowbank Lake425920,Snowbank Lake,sur,8/10/16,2,5,three,3512,35060,sur,1,0,2.623191267,0.093,22.00671236,1.057,19.81025439,0.27747629,5.064115901,0.314,0.314,0.0001,0.11242668,0.001160768,0.940571568,1.38,466,0.0198,2.11,170111,2.069,11.12,unstratified,Cheifs Head,7.5,0,165.16,NA,NA,0.27707326,0.282949067,alpine
Snowbank Lake425926,Snowbank Lake,hypo,8/10/16,2,5,three,3512,35060,hypo,0,6,1.664175105,0.059,22.02753233,1.058,14.57747999,0.204182389,4.741560748,0.294,0.294,0.006980004,0.167633724,0.001730762,0.819269067,1.39,464,0.0206,2.51,170111,6.9493,11.08,unstratified,Cheifs Head,7.5,0,226.5,NA,112525.67,0.27707326,0.282949067,alpine
GL4425700,GL4,sur,7/19/16,0,1,one,3550,45191.79,sur,1,0,9.346402316,0.339174109,51.03877516,2.451433202,10.95687596,0.153469674,9.346402316,0.352453759,0.029956353,0.000927868,0.202348392,0.00208918,0.6,NA,NA,NA,NA,NA,5.24,10.39,stratified,GLV,13,0,4032.52,NA,NA,0.275342678,0.296301631,alpine
GL4425703,GL4,meta,7/19/16,0,1,one,3550,45191.79,meta,0,3,8.512795146,0.325205377,49.85585299,2.394616504,6.78246839,0.095,8.512795146,0.300560577,0.025249497,0.000782078,0.216216546,0.002232364,0.53,NA,NA,NA,NA,NA,6.3,10,stratified,GLV,13,0,NA,NA,NA,0.275342678,0.296301631,alpine
GL4425709,GL4,hypo,7/19/16,0,1,one,3550,45191.79,hypo,0,9,2.981231601,0.347166721,50.18152665,2.41025887,8.269672779,0.115830826,2.981231601,0.51346793,0.05339675,0.001653911,0.274921183,0.00283847,0.53,NA,NA,NA,NA,NA,15.91,7.5,stratified,GLV,13,0,NA,NA,NA,0.275342678,0.296301631,alpine
GL4425770,GL4,sur,7/26/16,1,2,two,3550,45191.79,sur,1,0,5.021361466,0.357168675,50.32946635,2.417364532,4.39729702,0.06159162,5.021361466,0.050735928,0.026426799,0.000818544,0.209285109,0.002160799,0.542846646,NA,NA,NA,NA,NA,12.01,11.15,stratified,GLV,13,0,479.43,NA,NA,0.275342678,0.296301631,alpine
GL4425773,GL4,meta,7/26/16,1,2,two,3550,45191.79,meta,0,3,5.084918279,0.327199521,49.22342191,2.364240333,2.951262702,0.041337451,5.084918279,0.060147504,0.016997384,0.000526477,0.143172541,0.001478209,0.546522253,NA,NA,NA,NA,NA,10.54,11.17,stratified,GLV,13,0,NA,NA,NA,0.275342678,0.296301631,alpine
GL4425779,GL4,hypo,7/26/16,1,2,two,3550,45191.79,hypo,0,9,4.631733846,0.335180701,49.65833562,2.385129586,7.143587683,0.10005809,4.631733846,0.246499101,0.026426799,0.000818544,0.174548645,0.001802157,0.515013003,NA,NA,NA,NA,NA,13.09,9.43,stratified,GLV,13,0,531.3,NA,NA,0.275342678,0.296301631,alpine
GL4425840,GL4,sur,8/2/16,2,3,three,3550,45191.79,sur,1,0,3.532636126,0.387253869,50.21111925,2.411680227,4.534166933,0.063508716,3.532636126,0.007825865,0.025249497,0.000782078,0.184983474,0.001909893,0.57949212,NA,NA,NA,NA,NA,2.38,11.76,stratified,GLV,13,0,423.98,NA,NA,0.275342678,0.296301631,alpine
GL4425843,GL4,meta,8/2/16,2,3,three,3550,45191.79,meta,0,3,20.40621555,0.345167834,52.76726952,2.534454169,3.126726522,0.04379512,20.40621555,0.014561603,0.084794541,0.002626426,0.240435058,0.002482412,0.540011093,NA,NA,NA,NA,NA,3.89,11.48,stratified,GLV,13,0,NA,NA,NA,0.275342678,0.296301631,alpine
GL4425849,GL4,hypo,8/2/16,2,3,three,3550,45191.79,hypo,0,9,2.843986037,0.351165987,49.39151836,2.37231414,2.267580887,0.031761325,2.843986037,NA,0.006359193,0.00019697,0.150738881,0.001556329,0.552612984,NA,NA,NA,NA,NA,6.58,10.67,stratified,GLV,13,0,993.16,NA,NA,0.275342678,0.296301631,alpine
GL4425910,GL4,sur,8/9/16,3,4,four,3550,45191.79,sur,1,0,2.408948729,0.357168675,54.49839311,2.61760142,1.347293967,0.018871142,2.408948729,0.005897194,0.10654097,0.0033,0.195726778,0.002020814,0.589045207,NA,NA,NA,NA,NA,1.54,10.92,stratified,GLV,13,0,922.29,NA,NA,0.275342678,0.296301631,alpine
GL4425913,GL4,meta,8/9/16,3,4,four,3550,45191.79,meta,0,3,1.648495547,0.36117304,54.43005985,2.614319319,4.344216566,0.060848138,1.648495547,0.020317082,0.10654097,0.0033,0.105542488,0.001089691,0.651906616,NA,NA,NA,NA,NA,0.37,10.75,stratified,GLV,13,0,NA,NA,NA,0.275342678,0.296301631,alpine
GL4425919,GL4,hypo,8/9/16,3,4,four,3550,45191.79,hypo,0,9,3.752930521,0.357168675,56.71869167,2.724244136,2.945661941,0.041259003,3.752930521,0.010715389,0.161425712,0.005,0.145100753,0.001498117,0.563533437,NA,NA,NA,NA,NA,1.45,10.64,stratified,GLV,13,0,408.74,NA,NA,0.275342678,0.296301631,alpine
GL4425980,GL4,sur,8/16/16,4,5,five,3550,45191.79,sur,1,0,4.658108712,0.399323417,60.62051531,2.911651847,8.926364369,0.125028908,4.658108712,0.144712521,0.200167883,0.0062,0.13663745,0.001410736,0.653004083,NA,NA,NA,NA,NA,0.89,11.22,stratified,GLV,13,0,377.72,NA,NA,0.275342678,0.296301631,alpine
GL4425983,GL4,meta,8/16/16,4,5,five,3550,45191.79,meta,0,3,6.769525851,0.371193182,59.96152469,2.88,5.568997598,0.078003279,6.769525851,NA,0.109769484,0.0034,0.164819951,0.001701711,0.597311362,NA,NA,NA,NA,NA,1.49,10.94,stratified,GLV,13,0,NA,NA,NA,0.275342678,0.296301631,alpine
GL4425989,GL4,hypo,8/16/16,4,5,five,3550,45191.79,hypo,0,9,4.089921868,0.369188083,60.89842351,2.925,3.759884517,0.052663574,4.089921868,NA,0.12914057,0.004,0.162005364,0.001672651,0.673655239,NA,NA,NA,NA,NA,6.82,10.15,stratified,GLV,13,0,402.95,NA,NA,0.275342678,0.296301631,alpine
GL4426050,GL4,sur,8/23/16,5,6,six,3550,45191.79,sur,1,0,6.854144924,0.474260817,63.31354048,3.041,8.595071274,0.120388585,6.854144924,0.083,0.154968683,0.0048,0.119688815,0.001235747,0.701645855,NA,NA,NA,NA,NA,5.61,9.77,unstratified,GLV,13,0,575.84,NA,NA,0.275342678,0.296301631,alpine
GL4426053,GL4,meta,8/23/16,5,6,six,3550,45191.79,meta,0,3,1.889825967,0.389264,64.22961933,3.085,3.283332866,0.045988658,1.889825967,NA,0.103312456,0.0032,0.13663745,0.001410736,0.704484,NA,NA,NA,NA,NA,4.94,9.76,unstratified,GLV,13,0,NA,NA,NA,0.275342678,0.296301631,alpine
GL4426059,GL4,hypo,8/23/16,5,6,six,3550,45191.79,hypo,0,9,2.059064113,0.39127471,64.68765875,3.107,5.668902984,0.079402623,2.059064113,0.04,0.112997998,0.0035,0.206941286,0.0021366,0.669055272,NA,NA,NA,NA,NA,2.12,,unstratified,GLV,13,0,NA,NA,NA,0.275342678,0.296301631,alpine
